codigo,descricao
0322199,Cultivos e semicultivos da aqüicultura em água doce não especificados anteriormente
0500301,Extração de carvão mineral
0500302,Beneficiamento de carvão mineral
0600001,Extração de petróleo e gás natural
0600002,Extração e beneficiamento de xisto
0600003,Extração e beneficiamento de areias betuminosas
0710301,Extração de minério de ferro
0710302,"Pelotização, sinterização e outros beneficiamentos de minério de ferro"
0721901,Extração de minério de alumínio
0721902,Beneficiamento de minério de alumínio
0722701,Extração de minério de estanho
0722702,Beneficiamento de minério de estanho
0723501,Extração de minério de manganês
0723502,Beneficiamento de minério de manganês
0724301,Extração de minério de metais preciosos
0724302,Beneficiamento de minério de metais preciosos
0725100,Extração de minerais radioativos
0729401,Extração de minérios de nióbio e titânio
0729402,Extração de minério de tungstênio
0729403,Extração de minério de níquel
0729404,"Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente"
0729405,"Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente"
0810001,Extração de ardósia e beneficiamento associado
0810002,Extração de granito e beneficiamento associado
0810003,Extração de mármore e beneficiamento associado
0810004,Extração de calcário e dolomita e beneficiamento associado
0810005,Extração de gesso e caulim
0810006,"Extração de areia, cascalho ou pedregulho e beneficiamento associado"
0810007,Extração de argila e beneficiamento associado
0810008,Extração de saibro e beneficiamento associado
0810009,Extração de basalto e beneficiamento associado
0810010,Beneficiamento de gesso e caulim associado à extração
0810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado
0891600,"Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos"
0892401,Extração de sal marinho
0892402,Extração de sal-gema
0892403,Refino e outros tratamentos do sal
0893200,Extração de gemas (pedras preciosas e semipreciosas)
0899101,Extração de grafita
0899102,Extração de quartzo
0899103,Extração de amianto
0899199,Extração de outros minerais não-metálicos não especificados anteriormente
0910600,Atividades de apoio à extração de petróleo e gás natural
0990401,Atividades de apoio à extração de minério de ferro
0990402,Atividades de apoio à extração de minerais metálicos não-ferrosos
0990403,Atividades de apoio à extração de minerais não-metálicos
1011201,Frigorífico - abate de bovinos
1011202,Frigorífico - abate de eqüinos
1011203,Frigorífico - abate de ovinos e caprinos
1011204,Frigorífico - abate de bufalinos
1011205,Matadouro - abate de reses sob contrato - exceto abate de suínos
1012101,Abate de aves
1012102,Abate de pequenos animais
1012103,Frigorífico - abate de suínos
1012104,Matadouro - abate de suínos sob contrato
1013901,Fabricação de produtos de carne
1013902,Preparação de subprodutos do abate
1020101,"Preservação de peixes, crustáceos e moluscos"
1020102,"Fabricação de conservas de peixes, crustáceos e moluscos"
1031700,Fabricação de conservas de frutas
1032501,Fabricação de conservas de palmito
1032599,"Fabricação de conservas de legumes e outros vegetais, exceto palmito"
1033301,"Fabricação de sucos concentrados de frutas, hortaliças e legumes"
1033302,"Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados"
1041400,"Fabricação de óleos vegetais em bruto, exceto óleo de milho"
1042200,"Fabricação de óleos vegetais refinados, exceto óleo de milho"
1043100,Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais
1051100,Preparação do leite
1052000,Fabricação de laticínios
1053800,Fabricação de sorvetes e outros gelados comestíveis
1061901,Beneficiamento de arroz
1061902,Fabricação de produtos do arroz
1062700,Moagem de trigo e fabricação de derivados
1063500,Fabricação de farinha de mandioca e derivados
1064300,"Fabricação de farinha de milho e derivados, exceto óleos de milho"
1065101,Fabricação de amidos e féculas de vegetais
1065102,Fabricação de óleo de milho em bruto
1065103,Fabricação de óleo de milho refinado
1066000,Fabricação de alimentos para animais
1069400,Moagem e fabricação de produtos de origem vegetal não especificados anteriormente
1071600,Fabricação de açúcar em bruto
1072401,Fabricação de açúcar de cana refinado
1072402,Fabricação de açúcar de cereais (dextrose) e de beterraba
1081301,Beneficiamento de café
1081302,Torrefação e moagem de café
1082100,Fabricação de produtos à base de café
1091100,Fabricação de produtos de panificação
1091101,Fabricação de produtos de panificação industrial
1091102,Fabricação de produtos de padaria e confeitaria com predominância de produção própria
1092900,Fabricação de biscoitos e bolachas
1093701,Fabricação de produtos derivados do cacau e de chocolates
1093702,"Fabricação de frutas cristalizadas, balas e semelhantes"
1094500,Fabricação de massas alimentícias
1095300,"Fabricação de especiarias, molhos, temperos e condimentos"
1096100,Fabricação de alimentos e pratos prontos
1099601,Fabricação de vinagres
1099602,Fabricação de pós alimentícios
1099603,Fabricação de fermentos e leveduras
1099604,Fabricação de gelo comum
1099605,"Fabricação de produtos para infusão (chá, mate, etc.)"
1099606,Fabricação de adoçantes naturais e artificiais
1099607,Fabricação de alimentos dietéticos e complementos alimentares
1099699,Fabricação de outros produtos alimentícios não especificados anteriormente
1111901,Fabricação de aguardente de cana-de-açúcar
1111902,Fabricação de outras aguardentes e bebidas destiladas
1112700,Fabricação de vinho
1113501,"Fabricação de malte, inclusive malte uísque"
1113502,Fabricação de cervejas e chopes
1121600,Fabricação de águas envasadas
1122401,Fabricação de refrigerantes
1122402,Fabricação de chá mate e outros chás prontos para consumo
1122403,"Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas"
1122404,Fabricação de bebidas isotônicas
1122499,Fabricação de outras bebidas não-alcoólicas não especificadas anteriormente
1210700,Processamento industrial do fumo
1220401,Fabricação de cigarros
1220402,Fabricação de cigarrilhas e charutos
1220403,Fabricação de filtros para cigarros
1220499,"Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos"
1311100,Preparação e fiação de fibras de algodão
1312000,"Preparação e fiação de fibras têxteis naturais, exceto algodão"
1313800,Fiação de fibras artificiais e sintéticas
1314600,Fabricação de linhas para costurar e bordar
1321900,Tecelagem de fios de algodão
1322700,"Tecelagem de fios de fibras têxteis naturais, exceto algodão"
1323500,Tecelagem de fios de fibras artificiais e sintéticas
1330800,Fabricação de tecidos de malha
1340501,"Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário"
1340502,"Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário"
1340599,"Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário"
1351100,Fabricação de artefatos têxteis para uso doméstico
1352900,Fabricação de artefatos de tapeçaria
1353700,Fabricação de artefatos de cordoaria
1354500,"Fabricação de tecidos especiais, inclusive artefatos"
1359600,Fabricação de outros produtos têxteis não especificados anteriormente
1411801,Confecção de roupas íntimas
1411802,Facção de roupas íntimas
1412601,"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida"
1412602,"Confecção, sob medida, de peças do vestuário, exceto roupas íntimas"
1412603,"Facção de peças do vestuário, exceto roupas íntimas"
1413401,"Confecção de roupas profissionais, exceto sob medida"
1413402,"Confecção, sob medida, de roupas profissionais"
1413403,Facção de roupas profissionais
1414200,"Fabricação de acessórios do vestuário, exceto para segurança e proteção"
1421500,Fabricação de meias
1422300,"Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias"
1510600,Curtimento e outras preparações de couro
1521100,"Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material"
1529700,Fabricação de artefatos de couro não especificados anteriormente
1531901,Fabricação de calçados de couro
1531902,Acabamento de calçados de couro sob contrato
1532700,Fabricação de tênis de qualquer material
1533500,Fabricação de calçados de material sintético
1539400,Fabricação de calçados de materiais não especificados anteriormente
1540800,"Fabricação de partes para calçados, de qualquer material"
1610201,Serrarias com desdobramento de madeira
1610202,Serrarias sem desdobramento de madeira
1610203,Serrarias com desdobramento de madeira em bruto
1610204,Serrarias sem desdobramento de madeira em bruto  -Resserragem
1610205,Serviço de tratamento de madeira realizado sob contrato
1621800,"Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada"
1622601,Fabricação de casas de madeira pré-fabricadas
1622602,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais
1622699,Fabricação de outros artigos de carpintaria para construção
1623400,Fabricação de artefatos de tanoaria e de embalagens de madeira
1629301,"Fabricação de artefatos diversos de madeira, exceto móveis"
1629302,"Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis"
1710900,Fabricação de celulose e outras pastas para a fabricação de papel
1721400,Fabricação de papel
1722200,Fabricação de cartolina e papel-cartão
1731100,Fabricação de embalagens de papel
1732000,Fabricação de embalagens de cartolina e papel-cartão
1733800,Fabricação de chapas e de embalagens de papelão ondulado
1741901,Fabricação de formulários contínuos
1741902,"Fabricação de produtos de papel, cartolina, papel cartão e papelão ondulado para uso comercial e de escritório, exceto formulário contínuo"
1742701,Fabricação de fraldas descartáveis
1742702,Fabricação de absorventes higiênicos
1742799,Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente
1749400,"Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente"
1811301,Impressão de jornais
1811302,"Impressão de livros, revistas e outras publicações periódicas"
1812100,Impressão de material de segurança
1813001,Impressão de material para uso publicitário
1813099,Impressão de material para outros usos
1821100,Serviços de pré-impressão
1822900,Serviços de acabamentos gráficos
1822901,Serviços de encadernação e plastificação
1822999,"Serviços de acabamentos gráficos, exceto encadernação e plastificação"
1830001,Reprodução de som em qualquer suporte
1830002,Reprodução de vídeo em qualquer suporte
1830003,Reprodução de software em qualquer suporte
1910100,Coquerias
1921700,Fabricação de produtos do refino de petróleo
1922501,Formulação de combustíveis
1922502,Rerrefino de óleos lubrificantes
1922599,"Fabricação de outros produtos derivados do petróleo, exceto produtos do refino"
1931400,Fabricação de álcool
1932200,"Fabricação de biocombustíveis, exceto álcool"
2011800,Fabricação de cloro e álcalis
2012600,Fabricação de intermediários para fertilizantes
2013400,Fabricação de adubos e fertilizantes
2013401,Fabricação de adubos e fertilizantes organo-minerais
2013402,"Fabricação de adubos e fertilizantes, exceto organo-minerais"
2014200,Fabricação de gases industriais
2019301,Elaboração de combustíveis nucleares
2019399,Fabricação de outros produtos químicos inorgânicos não especificados anteriormente
2021500,Fabricação de produtos petroquímicos básicos
2022300,"Fabricação de intermediários para plastificantes, resinas e fibras"
2029100,Fabricação de produtos químicos orgânicos não especificados anteriormente
2031200,Fabricação de resinas termoplásticas
2032100,Fabricação de resinas termofixas
2033900,Fabricação de elastômeros
2040100,Fabricação de fibras artificiais e sintéticas
2051700,Fabricação de defensivos agrícolas
2052500,Fabricação de desinfestantes domissanitários
2061400,Fabricação de sabões e detergentes sintéticos
2062200,Fabricação de produtos de limpeza e polimento
2063100,"Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal"
2071100,"Fabricação de tintas, vernizes, esmaltes e lacas"
2072000,Fabricação de tintas de impressão
2073800,"Fabricação de impermeabilizantes, solventes e produtos afins"
2091600,Fabricação de adesivos e selantes
2092401,"Fabricação de pólvoras, explosivos e detonantes"
2092402,Fabricação de artigos pirotécnicos
2092403,Fabricação de fósforos de segurança
2093200,Fabricação de aditivos de uso industrial
2094100,Fabricação de catalisadores
2099101,"Fabricação de chapas, filmes, papéis e outros materiais e produtos químicos para fotografia"
2099199,Fabricação de outros produtos químicos não especificados anteriormente
2110600,Fabricação de produtos farmoquímicos
2121101,Fabricação de medicamentos alopáticos para uso humano
2121102,Fabricação de medicamentos homeopáticos para uso humano
2121103,Fabricação de medicamentos fitoterápicos para uso humano
2122000,Fabricação de medicamentos para uso veterinário
2123800,Fabricação de preparações farmacêuticas
2211100,Fabricação de pneumáticos e de câmaras-de-ar
2212900,Reforma de pneumáticos usados
2219600,Fabricação de artefatos de borracha não especificados anteriormente
2221800,Fabricação de laminados planos e tubulares de material plástico
2222600,Fabricação de embalagens de material plástico
2223400,Fabricação de tubos e acessórios de material plástico para uso na construção
2229301,Fabricação de artefatos de material plástico para uso pessoal e doméstico
2229302,Fabricação de artefatos de material plástico para usos industriais
2229303,"Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios"
2229399,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente
2311700,Fabricação de vidro plano e de segurança
2312500,Fabricação de embalagens de vidro
2319200,Fabricação de artigos de vidro
2320600,Fabricação de cimento
2330301,"Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda"
2330302,Fabricação de artefatos de cimento para uso na construção
2330303,Fabricação de artefatos de fibrocimento para uso na construção
2330304,Fabricação de casas pré-moldadas de concreto
2330305,Preparação de massa de concreto e argamassa para construção
2330399,"Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes"
2341900,Fabricação de produtos cerâmicos refratários
2342701,Fabricação de azulejos e pisos
2342702,"Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"
2349401,Fabricação de material sanitário de cerâmica
2349499,Fabricação de produtos cerâmicos não-refratários não especificados anteriormente
2391501,"Britamento de pedras, exceto associado à extração"
2391502,"Aparelhamento de pedras para construção, exceto associado à extração"
2391503,"Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras"
2392300,Fabricação de cal e gesso
2399101,"Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal"
2399102,Fabricação de abrasivos
2399199,Fabricação de outros produtos de minerais não-metálicos não especificados anteriormente
2411300,Produção de ferro-gusa
2412100,Produção de ferroligas
2421100,Produção de semi-acabados de aço
2422901,"Produção de laminados planos de aço ao carbono, revestidos ou não"
2422902,Produção de laminados planos de aços especiais
2423701,Produção de tubos de aço sem costura
2423702,"Produção de laminados longos de aço, exceto tubos"
2424501,Produção de arames de aço
2424502,"Produção de relaminados, trefilados e perfilados de aço, exceto arames"
2431800,Produção de tubos de aço com costura
2439300,Produção de outros tubos de ferro e aço
2441501,Produção de alumínio e suas ligas em formas primárias
2441502,Produção de laminados de alumínio
2442300,Metalurgia dos metais preciosos
2443100,Metalurgia do cobre
2449101,Produção de zinco em formas primárias
2449102,Produção de laminados de zinco
2449103,Fabricação de ânodos para galvanoplastia
2449199,Metalurgia de outros metais não-ferrosos e suas ligas não especificados anteriormente
2451200,Fundição de ferro e aço
2452100,Fundição de metais não-ferrosos e suas ligas
2511000,Fabricação de estruturas metálicas
2512800,Fabricação de esquadrias de metal
2513600,Fabricação de obras de caldeiraria pesada
2521700,"Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central"
2522500,"Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos"
2531401,Produção de forjados de aço
2531402,Produção de forjados de metais não-ferrosos e suas ligas
2532201,Produção de artefatos estampados de metal
2532202,Metalurgia do pó
2539000,"Serviços de usinagem, solda, tratamento e revestimento em metais"
2539001,"Serviços de usinagem, tornearia e solda"
2539002,Serviços de tratamento e revestimento em metais
2541100,Fabricação de artigos de cutelaria
2542000,"Fabricação de artigos de serralheria, exceto esquadrias"
2543800,Fabricação de ferramentas
2550101,"Fabricação de equipamento bélico pesado, exceto veículos militares de combate"
2550102,"Fabricação de armas de fogo, outras armas e munições"
2591800,Fabricação de embalagens metálicas
2592601,Fabricação de produtos de trefilados de metal padronizados
2592602,"Fabricação de produtos de trefilados de metal, exceto padronizados"
2593400,Fabricação de artigos de metal para uso doméstico e pessoal
2599301,Serviços de confecção de armações metálicas para a construção
2599302,Serviço de corte e dobra de metais
2599399,Fabricação de outros produtos de metal não especificados anteriormente
2610800,Fabricação de componentes eletrônicos
2621300,Fabricação de equipamentos de informática
2622100,Fabricação de periféricos para equipamentos de informática
2631100,"Fabricação de equipamentos transmissores de comunicação, peças e acessórios"
2632900,"Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação, peças e acessórios"
2640000,"Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo"
2651500,"Fabricação de aparelhos e equipamentos de medida, teste e controle"
2652300,Fabricação de cronômetros e relógios
2660400,Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação
2670101,"Fabricação de equipamentos e instrumentos ópticos, peças e acessórios"
2670102,"Fabricação de aparelhos fotográficos e cinematográficos, peças e acessórios"
2680900,"Fabricação de mídias virgens, magnéticas e ópticas"
2710401,"Fabricação de geradores de corrente contínua e alternada, peças e acessórios"
2710402,"Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios"
2710403,"Fabricação de motores elétricos, peças e acessórios"
2721000,"Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores"
2722801,Fabricação de baterias e acumuladores para veículos automotores
2722802,Recondicionamento de baterias e acumuladores para veículos automotores
2731700,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica
2732500,Fabricação de material elétrico para instalações em circuito de consumo
2733300,"Fabricação de fios, cabos e condutores elétricos isolados"
2740601,Fabricação de lâmpadas
2740602,Fabricação de luminárias e outros equipamentos de iluminação
2751100,"Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios"
2759701,"Fabricação de aparelhos elétricos de uso pessoal, peças e acessórios"
2759799,"Fabricação de outros aparelhos eletrodomésticos não especificados anteriormente, peças e acessórios"
2790201,"Fabricação de eletrodos, contatos e outros artigos de carvão e grafita para uso elétrico, eletroímãs e isoladores"
2790202,Fabricação de equipamentos para sinalização e alarme
2790299,Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente
2811900,"Fabricação de motores e turbinas, peças e acessórios, exceto para aviões e veículos rodoviários"
2812700,"Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas"
2813500,"Fabricação de válvulas, registros e dispositivos semelhantes, peças e acessórios"
2814301,"Fabricação de compressores para uso industrial, peças e acessórios"
2814302,"Fabricação de compressores para uso não industrial, peças e acessórios"
2815101,Fabricação de rolamentos para fins industriais
2815102,"Fabricação de equipamentos de transmissão para fins industriais, exceto rolamentos"
2821601,"Fabricação de fornos industriais, aparelhos e equipamentos não-elétricos para instalações térmicas, peças e acessórios"
2821602,"Fabricação de estufas e fornos elétricos para fins industriais, peças e acessórios"
2822401,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios"
2822402,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas, peças e acessórios"
2823200,"Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial, peças e acessórios"
2824101,Fabricação de aparelhos e equipamentos de ar condicionado para uso industrial
2824102,Fabricação de aparelhos e equipamentos de ar condicionado para uso não-industrial
2825900,"Fabricação de máquinas e equipamentos para saneamento básico e ambiental, peças e acessórios"
2829101,"Fabricação de máquinas de escrever, calcular e outros equipamentos não-eletrônicos para escritório, peças e acessórios"
2829199,"Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios"
2831300,"Fabricação de tratores agrícolas, peças e acessórios"
2832100,"Fabricação de equipamentos para irrigação agrícola, peças e acessórios"
2833000,"Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação"
2840200,"Fabricação de máquinas-ferramenta, peças e acessórios"
2851800,"Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo, peças e acessórios"
2852600,"Fabricação de outras máquinas e equipamentos para uso na extração mineral, peças e acessórios, exceto na extração de petróleo"
2853400,"Fabricação de tratores, peças e acessórios, exceto agrícolas"
2854200,"Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, peças e acessórios, exceto tratores"
2861500,"Fabricação de máquinas para a indústria metalúrgica, peças e acessórios, exceto máquinas-ferramenta"
2862300,"Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios"
2863100,"Fabricação de máquinas e equipamentos para a indústria têxtil, peças e acessórios"
2864000,"Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados, peças e acessórios"
2865800,"Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos, peças e acessórios"
2866600,"Fabricação de máquinas e equipamentos para a indústria do plástico, peças e acessórios"
2869100,"Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios"
2910701,"Fabricação de automóveis, camionetas e utilitários"
2910702,"Fabricação de chassis com motor para automóveis, camionetas e utilitários"
2910703,"Fabricação de motores para automóveis, camionetas e utilitários"
2920401,Fabricação de caminhões e ônibus
2920402,Fabricação de motores para caminhões e ônibus
2930101,"Fabricação de cabines, carrocerias e reboques para caminhões"
2930102,Fabricação de carrocerias para ônibus
2930103,"Fabricação de cabines, carrocerias e reboques para outros veículos automotores, exceto caminhões e ônibus"
2941700,Fabricação de peças e acessórios para o sistema motor de veículos automotores
2942500,Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores
2943300,Fabricação de peças e acessórios para o sistema de freios de veículos automotores
2944100,Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores
2945000,"Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias"
2949201,Fabricação de bancos e estofados para veículos automotores
2949299,Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
2950600,Recondicionamento e recuperação de motores para veículos automotores
3011301,Construção de embarcações de grande porte
3011302,"Construção de embarcações para uso comercial e para usos especiais, exceto de grande porte"
3012100,Construção de embarcações para esporte e lazer
3031800,"Fabricação de locomotivas, vagões e outros materiais rodantes"
3032600,Fabricação de peças e acessórios para veículos ferroviários
3041500,Fabricação de aeronaves
3042300,"Fabricação de turbinas, motores e outros componentes e peças para aeronaves"
3050400,Fabricação de veículos militares de combate
3091100,"Fabricação de motocicletas, peças e acessórios"
3091101,Fabricação de motocicletas
3091102,Fabricação de peças e acessórios para motocicletas
3092000,"Fabricação de bicicletas e triciclos não-motorizados, peças e acessórios"
3099700,Fabricação de equipamentos de transporte não especificados anteriormente
3101200,Fabricação de móveis com predominância de madeira
3102100,Fabricação de móveis com predominância de metal
3103900,"Fabricação de móveis de outros materiais, exceto madeira e metal"
3104700,Fabricação de colchões
3211601,Lapidação de gemas
3211602,Fabricação de artefatos de joalheria e ourivesaria
3211603,Cunhagem de moedas e medalhas
3212400,Fabricação de bijuterias e artefatos semelhantes
3220500,"Fabricação de instrumentos musicais, peças e acessórios"
3230200,Fabricação de artefatos para pesca e esporte
3240001,Fabricação de jogos eletrônicos
3240002,"Fabricação de mesas de bilhar, de sinuca e acessórios não associada à locação"
3240003,"Fabricação de mesas de bilhar, de sinuca e acessórios associada à locação"
3240099,Fabricação de outros brinquedos e jogos recreativos não especificados anteriormente
3250701,"Fabricação de instrumentos não-eletrônicos e utensílios para uso médico, cirúrgico, odontológico e de laboratório"
3250702,"Fabricação de mobiliário para uso médico, cirúrgico, odontológico e de laboratório"
3250703,Fabricação de aparelhos e utensílios para correção de defeitos físicos e aparelhos ortopédicos em geral sob encomenda
3250704,"Fabricação de aparelhos e utensílios para correção de defeitos físicos e aparelhos ortopédicos em geral, exceto sob encomenda"
3250705,Fabricação de materiais para medicina e odontologia
3250706,Serviços de prótese dentária
3250707,Fabricação de artigos ópticos
3250708,Fabricação de artefatos de tecido não tecido para uso odonto-médico-hospitalar
3250709,Serviço de laboratório óptico
3291400,"Fabricação de escovas, pincéis e vassouras"
